鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中和區,租賃房屋+車位,新北市中和區民德路１６７號十二樓,0.0,,,,1130217,土地0建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1090103,88.33,1,0,1,有,有,有,25000,283,升降平面,38.77,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為27800新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額25000。管理費另收1499元/月。,RPVNMLTKKHJGFHF76CC,獨立套房,有,1130217~1140216,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中和區,租賃房屋,新北市中和區連城路３４７巷４３號４樓,0.0,,,,1130216,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661229,66.46,3,1,1,有,無,有,17000,256,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為18900，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額17000。,RPXNMLTKKHJGFHF96CC,整棟(戶)出租,無,1130220~1140219,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
新莊區,租賃房屋,新北市新莊區民安西路１５５巷１６號４樓,0.0,,,,1130216,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710908,56.02,1,2,1,有,無,有,13000,232,,0.0,0,續租案件；,RPRNMLKLKHJGFBF57CC,整棟(戶)出租,無,1130315~1140314,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
新莊區,租賃房屋,新北市新莊區中信街６６之３號二樓,0.0,,,,1130220,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890630,109.48,3,2,2,有,有,有,20000,183,,0.0,0,社會住宅 管理費1424 水電費 瓦斯費 由承租人負擔續租案件；,RPTNMLKLKHJGFBF77CC,整棟(戶)出租,有,1130301~1140228,有,冷氣、熱水器,社會住宅代管
新店區,租賃房屋,新北市新店區中央路１５３號１８樓之８,0.0,,,,1130219,土地0建物1車位0,十八層,29,住宅大樓(11層含以上有電梯),一般事務所,鋼骨構造、鋼筋混凝土構造,1011114,79.65,1,1,1,有,有,有,31000,389,,0.0,0,,RPWNMLKLKHJGFCF18CC,整棟(戶)出租,有,1130219~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般轉租
新店區,租賃房屋,新北市新店區合作路７號４樓,0.0,,,,1130220,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1041231,74.82,2,1,1,有,有,有,18500,247,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為20600，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額18500。管理費租賃期間無償,RPXNMLKLKHJGFCF28CC,整棟(戶)出租,有,1130308~1140307,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
新店區,租賃房屋,新北市新店區光明街３１號,0.0,,,,1130215,土地0建物1車位0,全,1,透天厝,商業用,磚造,,33.73,0,0,0,無,無,無,39000,1156,,0.0,0,,RPOOMLKLKHJGFCF47CC,,無,1130310~1230309,無,,
淡水區,租賃房屋,新北市淡水區新民街１９巷１０號４樓,0.0,,,,1130217,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891027,107.66,3,2,2,有,有,有,18000,167,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為20000，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額18000。管理費租賃期間無償,RPPNMLKLKHJGFEF67CC,整棟(戶)出租,有,1130316~1140315,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
淡水區,租賃房屋,新北市淡水區水源街二段９２巷１６號三樓,27.0,住,,,1130219,土地2建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690424,20.64,5,0,5,有,無,有,7000,339,,0.0,0,總坪數為103.2平方公尺分為五間套房此合約是本層分租套房其中一間,RPXNMLKLKHJGFEF48CC,分租套房,無,1130301~1140228,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般包租
淡水區,租賃房屋+車位,新北市淡水區沙崙路二段７２５號四樓,0.0,,,,1130220,土地0建物1車位1,四層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120727,132.48,3,2,2,有,有,有,23000,206,坡道平面,35.2,3000,茲參加國家住宅及都市更新中心辦理社會住宅包租代管第4期計畫,RPROMLKLKHJGFEF97CC,整棟(戶)出租,有,1130225~1140224,有,冷氣、熱水器、冰箱,社會住宅代管
三重區,租賃房屋,新北市三重區永安北路一段３７巷２弄１５號五樓,0.0,,,,1130217,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851210,48.69,2,1,1,有,無,有,14000,288,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為15600，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額14000。,RPPNMLKLKHJGFGF87CC,整棟(戶)出租,無,1130228~1140227,無,冷氣、熱水器、洗衣機,社會住宅代管
三重區,租賃房屋,新北市三重區三張街３９號,0.0,,,,1130219,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0561111,67.5,2,1,1,有,無,有,22000,326,,0.0,0,社會住宅 水電費 瓦斯費 由承租人負擔,RPSNMLKLKHJGFGF18CC,整棟(戶)出租,無,1130219~1140218,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
