year,district,cat_count,dog_count,cat_dog_ratio,house_count,IV_highrise,IV3_single,IV_elder,total_pop,IV4_rental,IV_edu,log_IV4_rental
2015,文山區,524,747,0.7014725568942436,625,0.4668,0.3202505459142627,0.133375,275367,128,0.528872,4.852030263919617
2016,文山區,592,800,0.74,694,0.4868,0.3242833727224213,0.140064,275231,135,0.538564,4.90527477843843
2017,文山區,577,592,0.9746621621621622,515,0.5104,0.3294651914635418,0.147505,274424,142,0.523081,4.955827057601261
2018,文山區,620,752,0.824468085106383,630,0.5156,0.3352307360484635,0.154755,273762,211,0.531772,5.351858133476067
2019,文山區,768,724,1.0607734806629834,603,0.4877,0.3428659257948226,0.162325,271806,198,0.540112,5.288267030694535
2020,文山區,935,722,1.2950138504155124,605,0.5714,0.3506524868806018,0.171652,268130,272,0.546152,5.605802066295998
2021,文山區,1039,732,1.419398907103825,623,0.5650999999999999,0.35958597538232,0.179799,261576,305,0.55158,5.720311776607412
2022,文山區,1143,683,1.6734992679355782,455,0.5507,0.3664330835767138,0.189103,257558,432,0.558347,6.068425588244111
2023,文山區,1042,592,1.760135135135135,181,0.5658,0.3685595708067618,0.200247,260313,569,0.567272,6.343880434126331
2024,文山區,1078,545,1.9779816513761468,155,0.5292,0.3769285544742464,0.210771,258333,1011,0.572219,6.918695219020472
2025,文山區,1270,469,2.7078891257995736,137,0.5355,0.3959772762167972,0.222274,253822,1498,0.577544,7.311886164077165
2015,松山區,374,808,0.4628712871287129,412,0.4752,0.3232949733472824,0.161682,209714,613,0.59282,6.418364935936212
2016,松山區,399,520,0.7673076923076924,415,0.46630000000000005,0.328244845104094,0.170732,208326,626,0.601436,6.439350371100098
2017,松山區,412,470,0.8765957446808511,392,0.4423,0.3330395272618929,0.179257,206988,609,0.587422,6.411818267709897
2018,松山區,453,521,0.8694817658349329,399,0.48539999999999994,0.3395621733556848,0.187611,205702,593,0.596031,6.385194398997726
2019,松山區,494,504,0.98015873015873,398,0.4996,0.3425723346198284,0.195937,204193,589,0.605579,6.3784261836515865
2020,松山區,645,564,1.1436170212765957,455,0.5309,0.349470069422141,0.204941,200316,611,0.61185,6.415096959171596
2021,松山區,700,519,1.348747591522158,419,0.6522,0.3603320871728829,0.211709,193388,565,0.615612,6.336825731146441
2022,松山區,808,523,1.5449330783938815,315,0.6366,0.3667819633985284,0.220081,189939,683,0.623152,6.52649485957079
2023,松山區,788,426,1.8497652582159625,111,0.6067,0.3660051168682779,0.231134,193399,932,0.633952,6.837332814685591
2024,松山區,726,383,1.8955613577023496,102,0.6203000000000001,0.3742403426039384,0.240301,191826,875,0.639924,6.774223886357614
2025,松山區,929,346,2.684971098265896,96,0.6313,0.3916180515299893,0.250067,187318,1554,0.645084,7.348587530927593
2015,萬華區,337,474,0.7109704641350211,424,0.3803,0.3912377255372671,0.167105,194339,143,0.383406,4.962844630259907
2016,萬華區,378,459,0.8235294117647058,381,0.4149,0.3979732138310332,0.174239,193539,183,0.393184,5.209486152841421
2017,萬華區,422,436,0.9678899082568808,376,0.3816,0.4054356535120629,0.182017,191850,169,0.386183,5.1298987149230735
2018,萬華區,425,450,0.9444444444444444,374,0.5083,0.4122538626582198,0.189327,189603,210,0.394443,5.3471075307174685
2019,萬華區,592,522,1.1340996168582376,416,0.5003,0.4216938891341363,0.198769,187076,268,0.402168,5.5909869805108565
2020,萬華區,600,503,1.1928429423459244,409,0.5201,0.4336936528334215,0.210172,183088,401,0.407018,5.993961427306569
2021,萬華區,680,548,1.2408759124087592,437,0.5905,0.4478136337597861,0.221224,176617,428,0.409172,6.059123195581797
2022,萬華區,784,449,1.7461024498886415,279,0.5867,0.4562219024210084,0.230906,173040,607,0.415771,6.408528791059498
2023,萬華區,773,412,1.8762135922330097,118,0.5512,0.4606048397250271,0.241518,173652,985,0.42665,6.892641641172089
2024,萬華區,810,376,2.154255319148936,111,0.5775,0.4726967131474103,0.252066,171915,1504,0.433581,7.315883504509785
2025,萬華區,902,331,2.7250755287009065,97,0.5486,0.4910823086296665,0.264272,168675,1999,0.439317,7.6004023345004
