鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
佳里區,房地(土地+建物),臺南市佳里區光華街130巷21弄3號,49.93,其他,,,1050101,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0781009,175.37,3,3,3,有,無,無,15000,86,,0.0,0,,RPXNMLLLJHLFFDR17DC
永康區,建物,臺南市永康區文化路199號,0.0,住,,,1050120,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0811105,243.27,5,3,5,有,無,無,20000,82,,0.0,0,,RPXNMLLLJHLFFHR47CC
南區,土地,建南段225地號,973.74,農,,,1050121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,31500,32,,0.0,0,,RPSRMLLLJHLFFCD18DC
仁德區,建物,臺南市仁德區中正路二段439號,0.0,商,,,1041225,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0731120,174.45,4,2,2,有,無,無,15625,90,,0.0,0,,RPRNMLMLJHLFFFR76CC
仁德區,土地,仁義段130地號,262.05,商,,,1041229,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,61,,0.0,0,地上建物無保存登記,RPVNMLMLJHLFFFR17CC
東區,房地(土地+建物),臺南市東區中華東路三段290.292號,285.0,商,,,1050121,土地2建物2車位0,全,5,透天厝,住家用,鋼筋混凝土構造,0760512,184.15,0,0,0,無,無,無,80000,434,,0.0,0,,RPTOMLMLJHLFFCD97CC
南區,建物,臺南市南區台南市南區新孝路33號,25.0,住,,,1050109,土地0建物1車位0,全,2,透天厝,住家用,見其他登記事項,0640715,50.0,3,0,2,有,無,有,22000,440,,0.0,0,,RPRPMLMLJHLFFCD87CC
南區,建物,臺南市南區台南市南區西門路１段279巷16弄4號   5樓,20.0,住,,,1050119,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土構造,0820511,104.35,3,2,2,有,無,有,8500,81,,0.0,0,,RPXRMLMLJHLFFCD68CC
南區,建物,臺南市南區台南市南區健康路２段499號   3樓,0.0,住,,,1050105,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0820208,86.83,1,0,1,有,無,有,5500,63,,0.0,0,,RPPSMLMLJHLFFCD97CC
北區,建物,臺南市北區北門路二段246號,0.0,商,,,1041229,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0911115,160.98000000000002,1,1,1,有,有,有,14000,87,,0.0,0,,RPQSMLMLJHLFFAD87CC
安平區,建物,臺南市安平區永華三街262號,0.0,住,,,1041231,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0810817,301.96,5,2,6,有,無,有,28000,93,,0.0,0,,RPRSMLMLJHLFFAD97CC
中西區,建物,臺南市中西區台南市中西區海安路２段313號,0.0,住,,,1050113,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0621201,193.6,1,1,1,有,無,有,39000,201,,0.0,0,,RPUTMLMLJHLFFAD38CC
中西區,建物,臺南市中西區民族路二段149號3樓,0.0,住,,,1050118,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0761229,173.06,1,2,2,有,無,有,22000,127,,0.0,0,,RPQNMLNLJHLFFAD47CC
東區,建物,臺南市東區台南市東區龍山街89號9樓,0.0,住,,,1050114,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0960906,98.87,3,2,2,有,無,有,22000,223,,0.0,0,,RPQNMLNLJHLFFCD67CC
東區,建物,臺南市東區台南市東區中華東路２段193號   16樓之12,0.0,住,,,1050118,土地0建物1車位0,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0841106,19.5,2,1,1,有,無,有,13000,667,,0.0,0,,RPRNMLNLJHLFFCD77CC
永康區,建物,臺南市永康區台南市永康區忠義街60巷12之1號,0.0,住,,,1050118,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0770321,241.34,6,1,7,有,無,有,40000,166,,0.0,0,,RPQNMLNLJHLFFHR96CC
永康區,建物,臺南市永康區台南市永康區中華西街57號   4樓,0.0,住,,,1050119,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0850216,79.59,3,0,3,有,無,有,10000,126,,0.0,0,,RPRNMLNLJHLFFHR07CC
永康區,建物,臺南市永康區安康里大橋一街53之2號五樓之1,0.0,住,,,1050124,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0880824,90.53,3,1,2,有,有,無,11000,122,,0.0,0,,RPRNMLPLJHLFFHR27CC
東區,建物,臺南市東區東榮街13號之1,0.0,住,,,1050123,土地0建物1車位0,一層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0830901,34.06,1,0,1,有,無,有,7000,206,,0.0,0,,RPRRMLPLJHLFFCD38CC
北區,建物,臺南市北區西門路四段61號.65巷47號,0.0,,,,1050121,土地0建物1車位0,一層,3,店面(店鋪),見其他登記事項,見其他登記事項,0811006,1390.96,0,0,0,無,無,無,400000,288,,0.0,0,,RPPQMLQLJHLFFAD97CC
安平區,房地(土地+建物),臺南市安平區建平五街239號,26.01,住,,,1050116,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0790724,64.85,3,2,3,有,無,無,22000,339,,0.0,0,,RPOWMLQLJHLFFAD48CC
永康區,建物,臺南市永康區北興路166巷11號,0.0,住,,,1050126,土地0建物1車位0,全,4,透天厝,住家用,見其他登記事項,1030605,207.44,4,2,4,有,無,有,22000,106,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊.3.租整棟透天,RPUNMLQLJHLFFHR67CC
