year,district,building_type,count,proportion
2022,大同區,公寓,227,0.1927
2022,大同區,其他,127,0.1078
2022,大同區,華廈,146,0.1239
2022,大同區,透天厝,61,0.0518
2022,大安區,住宅大樓,878,0.3831
2022,大安區,公寓,358,0.1562
2022,大安區,其他,430,0.1876
2022,大安區,華廈,617,0.2692
2022,大安區,透天厝,9,0.0039
2022,文山區,住宅大樓,481,0.2487
2022,文山區,公寓,591,0.3056
2022,文山區,其他,235,0.1215
2022,文山區,華廈,584,0.302
2022,文山區,透天厝,43,0.0222
2022,松山區,住宅大樓,640,0.4213
2022,松山區,公寓,343,0.2258
2022,松山區,其他,195,0.1284
2022,松山區,華廈,327,0.2153
2022,松山區,透天厝,14,0.0092
2022,萬華區,住宅大樓,761,0.4551
2022,萬華區,公寓,455,0.2721
2022,萬華區,其他,172,0.1029
2022,萬華區,套房,2,0.0012
2022,萬華區,華廈,220,0.1316
2022,萬華區,透天厝,62,0.0371
2023,中山區,住宅大樓,1467,0.4731
2023,中山區,公寓,453,0.1461
2023,中山區,其他,321,0.1035
2023,中山區,華廈,834,0.2689
2023,中山區,透天厝,26,0.0084
2023,中正區,住宅大樓,507,0.3964
2023,中正區,公寓,256,0.2002
2023,中正區,其他,182,0.1423
2023,中正區,華廈,309,0.2416
2023,中正區,透天厝,25,0.0195
2023,信義區,住宅大樓,629,0.3309
2023,信義區,公寓,526,0.2767
2023,信義區,其他,408,0.2146
2023,信義區,華廈,310,0.1631
2023,信義區,透天厝,28,0.0147
2023,內湖區,住宅大樓,762,0.2917
2023,內湖區,公寓,644,0.2466
2023,內湖區,其他,463,0.1773
2023,內湖區,華廈,705,0.2699
2023,內湖區,透天厝,38,0.0145
2023,北投區,住宅大樓,521,0.2449
2023,北投區,公寓,573,0.2694
2023,北投區,其他,411,0.1932
2023,北投區,華廈,569,0.2675
2023,北投區,透天厝,53,0.0249
2023,南港區,住宅大樓,406,0.3691
2023,南港區,公寓,290,0.2636
2023,南港區,其他,220,0.2
2023,南港區,華廈,173,0.1573
2023,南港區,透天厝,11,0.01
2023,士林區,住宅大樓,455,0.2079
2023,士林區,公寓,693,0.3166
2023,士林區,其他,606,0.2768
2023,士林區,華廈,352,0.1608
2023,士林區,透天厝,83,0.0379
2023,大同區,住宅大樓,742,0.5346
2023,大同區,公寓,238,0.1715
2023,大同區,其他,167,0.1203
2023,大同區,華廈,172,0.1239
2023,大同區,透天厝,69,0.0497
2023,大安區,住宅大樓,932,0.3688
2023,大安區,公寓,412,0.163
2023,大安區,其他,508,0.201
2023,大安區,華廈,660,0.2612
2023,大安區,透天厝,15,0.0059
2023,文山區,住宅大樓,868,0.3646
2023,文山區,公寓,648,0.2722
2023,文山區,其他,353,0.1483
2023,文山區,華廈,479,0.2012
2023,文山區,透天厝,33,0.0139
2023,松山區,住宅大樓,679,0.4027
2023,松山區,公寓,363,0.2153
